Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    87543     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, session_value>, std::allocator<std::pair<unsigned int const, session_value> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::find(unsigned int const&)
  0.00      0.00     0.00    87543     0.00     0.00  std::unordered_map<unsigned int, session_value, std::hash<unsigned int>, std::equal_to<unsigned int>, std::allocator<std::pair<unsigned int const, session_value> > >::find(unsigned int const&)
  0.00      0.00     0.00    80299     0.00     0.00  std::__detail::_Node_iterator<std::pair<unsigned int const, session_value>, false, false>::_Node_iterator()
  0.00      0.00     0.00    80298     0.00     0.00  preBuildData(unsigned char*, int)
  0.00      0.00     0.00    80298     0.00     0.00  IpsMatch::ruleFilter(packet_t*, unsigned char*)
  0.00      0.00     0.00    75320     0.00     0.00  decltype ((get<0>)((forward<std::pair<unsigned int const, session_value>&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<unsigned int const, session_value>&>(std::pair<unsigned int const, session_value>&) const
  0.00      0.00     0.00    75320     0.00     0.00  unsigned int const& std::__pair_get<0ul>::__get<unsigned int const, session_value>(std::pair<unsigned int const, session_value>&)
  0.00      0.00     0.00    75320     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<unsigned int const, session_value> >::_M_v()
  0.00      0.00     0.00    75320     0.00     0.00  std::tuple_element<0ul, std::pair<unsigned int const, session_value> >::type& std::get<0ul, unsigned int const, session_value>(std::pair<unsigned int const, session_value>&)
  0.00      0.00     0.00    75320     0.00     0.00  std::pair<unsigned int const, session_value>& std::forward<std::pair<unsigned int const, session_value>&>(std::remove_reference<std::pair<unsigned int const, session_value>&>::type&)
  0.00      0.00     0.00    73693     0.00     0.00  std::__detail::_Hashtable_base<unsigned int, std::pair<unsigned int const, session_value>, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.00      0.00     0.00    73693     0.00     0.00  std::__detail::_Hashtable_base<unsigned int, std::pair<unsigned int const, session_value>, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(unsigned int const&, unsigned long, std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>*) const
  0.00      0.00     0.00    73693     0.00     0.00  std::equal_to<unsigned int>::operator()(unsigned int const&, unsigned int const&) const
  0.00      0.00     0.00    73693     0.00     0.00  std::__detail::_Equal_helper<unsigned int, std::pair<unsigned int const, session_value>, std::__detail::_Select1st, std::equal_to<unsigned int>, unsigned long, false>::_S_equals(std::equal_to<unsigned int> const&, std::__detail::_Select1st const&, unsigned int const&, unsigned long, std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>*)
  0.00      0.00     0.00    73693     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<unsigned int>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::equal_to<unsigned int>, true> const&)
  0.00      0.00     0.00    65048     0.00     0.00  std::__detail::_Node_iterator<std::pair<unsigned int const, session_value>, false, false>::operator->() const
